indian army organised khairiyat patrol at remote mohallas of gujjarpatti village to provide medical assistance to,-1
pak army s retired lt gen khalid naeem lodhi says pakistan s political security amp economic situaiton is going to,-1
pak army attacked by mc borne suicide attacker in north waziristan yesterday as per reports 8 soldiers injured a,0
pak interior minister amp hamid mir discuss how ib amp isi army have recorded xxx videos of imran khan amp so called pm o,0
pak journalist azaz syed to cheema pak army isi has been bugging president house and also pm office amp house jago,0
paki senator m a khan says pak army isi ispr must stop attacking members of parliament amp journalists and must re,0
in order to extend the outreach of the indian army and to strengthen the bond with locals a khairiyat patrol was t,0
dheeman fyi that s your army who miss fire to kill civilians about this case go and read yourself,0
pak army disappearing innocent civilians and activists in balochistan they are most likely killed by pak army and,1
home minister amit shah held a review meeting in srinagar today on the security situation in jammu amp kashmir the,0
with an aim to promote a healthy and positive lifestyle kiatsan army camp of wular battalion organised a lecture on,1
army helicopter crashes in arunachal 1 pilot dead,-1
army helicopter crashes in arunachal 1 pilot dead,-1
gen qamar javed bajwa thinks he is doing some pr for the army after receiving much flak in his own country but eve,1
the armed forces have distanced themselves from politics and want to stay away says chief of army staff coas gen,0
army helicopter crashes in arunachal 1 pilot dead,-1
the deputy envoy also said that in bangladesh international crimes tribunal ict was set up to try the collabora,0
on march 25 1971 pakistan army launched operation searchlight wherein a planned military operation was carrie,-1
pilot killed as army s cheetah helicopter crashes in arunachal pradesh,-1
one pilot killed another injured in armychopper crash in arunachal,-1
army aviation cheetah helicopter flying in the forward area near tawang has crashed during a routine sortie both t,1
an indian army cheetah helicopter crashed today near tawang area in arunachal pradesh one pilot has lost his life,1
life is simple life philosophy russia china army dussehra vijayadashami2022 festival godfather,0
time to give j amp k freedom from militancy home minister tells security top brass chairs security review meet in,1
such filthy plans in such filthy minds will be blown by the iranian people and army time is so close,-1
chairs security review meet in srinagar hails police army capfs for role in anti militancy front,0
time to give j amp k freedom from militancy home minister tells security top brass chairs security review meet in sri,1
isn t that beautiful the army school still retains the same age old charm you guys should plan v,1
record breaking run gulveer singh of indian army wins goldmedal in men s 10000m athletics event at,1
